,BM,MV,ROIC
2015-08-31,5.793708408099895,-2.5079213038752792,-2.285787104224615
2015-09-30,2.472700765340706,-0.7364480249482451,-0.7362527403924608
2015-10-30,1.60459019070145,-0.3486339503967696,-0.25595624030468034
2015-11-30,2.9685440294824548,-1.7140645102924073,-0.2544795191900476
2015-12-31,2.3518939279045634,-1.244400851003134,-0.10749307690142954
2016-01-29,3.7176583837267083,-2.0866480048261624,-0.6310103789005458
2016-02-29,1.4517886266760451,-0.33389052999681607,-0.11789809667922903
2016-03-31,1.4846854547192698,-0.3370917806368274,-0.14759367408244248
2016-04-29,2.140425011721857,-1.0728577553188903,-0.06756725640296632
2016-05-31,2.2617992841972394,-0.9570076628664865,-0.3047916213307529
2016-06-30,1.593083127238948,-0.7599470816092203,0.16686395437027227
2016-07-29,1.5119518019986387,-0.8009526181072264,0.28900081610858774
