,lnR,lnR_2
2016-06-21,-0.013120998947521834,0.00017216061338086908
2016-06-22,0.024935086572236642,0.0006217585423649361
2016-06-23,-0.0034233893196509158,1.171959443389996e-05
2016-06-24,-0.004750469090479825,2.2566956579604218e-05
2016-06-27,0.029845912132043573,0.0008907784709936657
2016-06-28,0.011296428183931617,0.00012760928971472459
2016-06-29,-0.0031266262904656728,9.775791960231134e-06
2016-06-30,0.008112574295306985,6.581386169687561e-05
2016-07-01,-0.007483752997807791,5.60065589321971e-05
2016-07-04,0.01683040877680142,0.00028326265959423427
2016-07-05,-0.0011969574684860262,1.4327071813644765e-06
2016-07-06,-0.001987708951572742,3.9509868761624094e-06
2016-07-07,-0.003414162244633978,1.1656503832684124e-05
2016-07-08,0.002271447816718286,5.159475184074269e-06
2016-07-11,-0.00915747865132932,8.385941524955227e-05
2016-07-12,0.012884335023230165,0.00016600608899083543
2016-07-13,0.01677174285086469,0.00028129135825553085
2016-07-14,0.003367955219760077,1.134312236230915e-05
2016-07-15,-0.012859909584698848,0.0001653772745266293
2016-07-18,-0.006163545705093476,3.7989295658776234e-05
2016-07-19,0.010544819931129545,0.0001111932273799469
2016-07-20,-0.0022852120682914645,5.222194197064953e-06
2016-07-21,-0.0014998922007416482,2.2496766138456248e-06
2016-07-22,-0.006701936215118387,4.491594903151537e-05
2016-07-25,-0.00182833705669605,3.342816392887975e-06
2016-07-26,0.014876175905953914,0.00022130060958488378
2016-07-27,-0.05600637340582271,0.003136713862072445
2016-07-28,-0.00728735533426228,5.3105547767800906e-05
2016-07-29,-0.008132090848016915,6.613090156040046e-05
2016-08-01,-0.011005443194262554,0.00012111977990213997
2016-08-02,0.0066613261733623474,4.4373266387922256e-05
2016-08-03,-0.002316696641779359,5.367083330031759e-06
2016-08-04,0.010066225155815012,0.00010132888888756296
2016-08-05,-0.00971529637652857,9.438698368378917e-05
2016-08-08,0.010156586076289997,0.00010315624072508784
2016-08-09,0.011164382840734177,0.00012464344421447973
2016-08-10,-0.0081603431741053,6.659120071916697e-05
2016-08-11,-0.01584789323321978,0.00025115571993153326
2016-08-12,0.009670687871632389,9.352220391053778e-05
2016-08-15,0.03214045310963165,0.0010330087260924307
2016-08-16,0.0035910113208661443,1.289536230658881e-05
2016-08-17,0.0032204686169787777,1.03714181129452e-05
2016-08-18,-0.0029978774274903586,8.98726907025621e-06
2016-08-19,0.001348115906090186,1.817416496253363e-06
