,lnR,lnR_2,szzsRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2008-03-31,-0.0304674488458776,0.0009282654391761681,0.0012484075908396368,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-04-01,-0.04221551218695829,0.001782149469207224,0.0012726962321910383,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-04-02,0.005607286412660173,3.144166091360339e-05,0.001753485215787701,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-04-03,0.028957035247731966,0.0008385098903383914,0.0008679040985557273,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-04-07,0.043542786389268784,0.001895974246541491,0.0005336116014608911,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2008-04-08,0.0035831205072565098,1.2838752569522148e-05,0.0005100525753453176,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-04-09,-0.05655346600010169,0.0031982945166246584,0.0005818538984998127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-04-10,0.016799390093181543,0.0002822195075028862,0.0009503109503410036,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-04-11,0.00607355934043774,3.688812306181851e-05,0.00030855309470989453,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-04-14,-0.05781685790058866,0.003342789057496861,0.0008915744435344501,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-04-15,0.015555108389522232,0.00024196139700978492,0.0007590649347141055,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-04-16,-0.017095118204725424,0.0002922430664335346,0.0007017462722884584,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-04-17,-0.02114122525460793,0.0004469514052660722,0.0007686339566698852,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-04-18,-0.040551609098384844,0.0016444330004682084,0.0012321204024640785,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-04-21,0.0071829912752576774,5.159536366042791e-05,0.003539277603004875,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-04-22,0.00983795048953695,9.678526983458033e-05,0.001705131923907774,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-04-23,0.040632574038022895,0.0016510060729554121,0.000683368699598443,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-04-24,0.08887410657713879,0.007898606819884624,0.004138736169748995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-04-25,-0.007080211467647146,5.012939442660215e-05,0.0006647534446350968,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-04-28,-0.023613565688485494,0.0005576004845244194,0.0008058168335063936,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-04-29,0.013913375777152126,0.00019358202551624353,0.0003172822249352462,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-04-30,0.04703998681629784,0.0022127603596774747,0.000364589291758179,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-05-05,0.01821943405589188,0.00033194777731699286,0.00042113945555640364,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
2008-05-06,-0.0073403374370730745,5.388055369009651e-05,0.0006242613921601218,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-05-07,-0.04222243116303481,0.0017827336933172132,0.00044260338678988985,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-05-08,0.02147460917505839,0.000461158839221502,0.0006048015576586868,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-05-09,-0.011923941741372346,0.00014218038665164177,0.0006084945713606498,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-05-12,0.003725726209790281,1.3881035790318252e-05,0.0007055005896312764,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-05-13,-0.018572096547888606,0.00034492277018409586,0.0006541291168695156,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-05-14,0.026932460843523742,0.0007253574470879396,0.00024641324211569366,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-05-15,-0.00551301535763038,3.0393338333468425e-05,0.0002534995565850911,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-05-16,-0.0036055667350769482,1.3000111481093445e-05,0.00027655285546548345,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-05-19,-0.005387207983027054,2.9022009852390416e-05,0.00018864170275767554,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-05-20,-0.045865236490174155,0.0021036199182996027,0.0004704156017604771,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-05-21,0.028918279196602725,0.000836266871692666,0.0009813962542104657,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-05-22,-0.016659711811998434,0.00027754599765884017,0.0007223686801657702,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-05-23,-0.0036038270742349,1.2987569580988478e-05,0.0005663095390312761,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-05-26,-0.031752534265379495,0.001008223432274099,0.0004043069699169626,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-05-27,0.003223468362373083,1.0390748283220206e-05,0.0003195864908995586,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-05-28,0.024471136903699175,0.0005988365413595876,0.00023036622925518458,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-05-29,-0.016789057159254384,0.0002818724402967109,0.0003048153215004492,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-05-30,0.009339636576010335,8.722881137195005e-05,0.0003516532054200014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-06-02,0.0074546243467210616,5.5571424150726416e-05,0.00021680330296289696,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-06-03,-0.00656842053638762,4.3144148342838636e-05,0.00020261982757069306,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-06-04,-0.019536901769880544,0.0003816905307659615,0.00025629129355969393,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-06-05,-0.00543565791723033,2.9546376993148767e-05,0.00023950524379668758,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-06-06,-0.006578070107448042,4.3271006338501494e-05,0.0001473733805167099,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-06-10,-0.08043599213437425,0.0064699488306411155,0.0022518415363813244,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
2008-06-11,-0.015777387600829584,0.00024892595950681113,0.0006430416296570016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-06-12,-0.022304683486258803,0.0004974989054221861,0.0006794296256512956,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-06-13,-0.03046131289241938,0.000927891583129875,0.0004945868948400587,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-06-16,0.0018468016984556357,3.4106765134186207e-06,0.0007435526178864404,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-06-17,-0.027997610585195787,0.0007838661984802672,0.0004357532585574401,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-06-18,0.051045746171530126,0.0026056682022082825,0.0012096140357952534,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
