,lnR,lnR_2,SZCZRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2008-06-26,0.0017485881631813527,3.057560564417937e-06,0.0006099789065259201,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-06-27,-0.057996175908243686,0.003363556419979945,0.0018041036954170836,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-06-30,-0.006958292737371252,4.841783781895352e-05,0.0006645296095075453,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-07-01,-0.029655172416228837,0.0008794292510362596,0.000448779624848637,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-07-02,0.007138497082706863,5.095814059981439e-05,0.0003902857472195307,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-07-03,0.02543596666703074,0.0006469884002862989,0.0013246552765628626,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-07-04,0.00027129249976809433,7.359962043042147e-08,0.0003683663225233257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-07-07,0.05204861044163245,0.00270905784890481,0.0005402061102275518,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-07-08,0.004764770451586742,2.2703037456314122e-05,0.0006609579983658606,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-07-09,0.03990552353300636,0.0015924508084433245,0.0005225932254414125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-07-10,-0.01721734894334581,0.00029643710463693115,0.0008376636226749495,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-07-11,-0.014570382383164215,0.0002122960427916221,0.0004665353239179954,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-07-14,0.002279937047440228,5.198112940290465e-06,0.00041538887831488766,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-07-15,-0.04114166921892881,0.0016926369461197543,0.0006169765091753855,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-07-16,-0.03433049558980983,0.001178582927441952,0.0008402072809751296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-07-17,-0.003762357651856618,1.4155335100484046e-05,0.0007511923194564066,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-07-18,0.031791156414650246,0.0010106776261807574,0.0005869111465458039,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-07-21,0.029045801985828845,0.0008436586129999789,0.00041826246945979485,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-07-22,-0.0019974365595913923,3.989752809592298e-06,0.00023977058375156886,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-07-23,-0.011903838176660742,0.00014170136333612572,0.0002248390887531089,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-07-24,0.027485134608049577,0.0007554326244226046,0.00024317887323074494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-07-25,-0.008312694587292668,6.910089130160483e-05,0.0003152060906450765,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-07-28,0.005124525080715259,2.6260757302879727e-05,0.00020866593921737276,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-07-29,-0.01844318812420731,0.00034015118818490154,0.00030138133360464893,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-07-30,-0.007800461766374056,6.084720376866346e-05,0.00021129295319113312,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-07-31,-0.025588118300822416,0.0006547517981768831,0.0002569783983645764,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-08-01,0.009100486483793802,8.281885424171367e-05,0.0005380927516000573,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2008-08-04,-0.019144813159591934,0.00036652387091568446,0.0002810496225719754,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2008-08-05,-0.03202197842465715,0.001025407102229208,0.00033678977117524984,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2008-08-06,-0.003649627208858419,1.3319778763639695e-05,0.0007396110266576684,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2008-08-07,-0.0013107759958472798,1.718133711289428e-06,0.0002330825240579218,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2008-08-08,-0.042563747979970756,0.0018116726421024646,0.000470471850713293,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2008-08-11,-0.05808620621228222,0.0033740073521357737,0.0008270417211374608,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
