,lnR,lnR_2,CYBZRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2010-09-29,-0.016364815897843776,0.0002678071993703204,7.1520285997754e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2010-09-30,0.01688482346558917,0.0002850972634641107,3.605849286914538e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2010-10-08,0.018213268168334906,0.00033172313737168154,5.422501429777423e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7
2010-10-11,-0.013375323221286983,0.0001788992712738988,4.926551327068287e-05,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
2010-10-12,0.00492917949944971,2.429681053779529e-05,5.3744102019437304e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2010-10-13,0.01143688609944249,0.00013080236365162085,7.472418078600708e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2010-10-14,-0.004416962334347296,1.9509556263042717e-05,0.00015301587697060814,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2010-10-15,-0.014969148238139773,0.00022407539897540307,0.00011378635328823703,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2010-10-18,-0.012677264099054675,0.00016071302503718054,0.0002655414197612284,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
2010-10-19,0.0659510076141343,0.004349535405319601,0.0005128692504085463,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2010-10-20,0.008618053962645256,7.42708541030656e-05,0.00026110604585504783,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2010-10-21,-0.012723174821744898,0.00016187917754468333,0.0002915233342331016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2010-10-22,0.021549836819179546,0.00046439546693326645,0.00016686800482430453,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2010-10-25,0.024952305574662326,0.0006226175534913246,0.00022966396408677248,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
2010-10-26,-0.002936783246326513,8.624695835904093e-06,0.00010415915367993152,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2010-10-27,-0.005239535842208376,2.7452735841786237e-05,0.00014920835186122653,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2010-10-28,0.007760469835595529,6.02248920691881e-05,7.971126538536147e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2010-10-29,0.024631037553032087,0.0006066880109388768,0.0002561738234823172,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2010-11-01,0.039600118098228165,0.0015681693533936179,0.00046162948160339835,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
2010-11-02,-0.029664873384264823,0.0008800047129044634,0.00016902395175063577,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2010-11-03,-0.032643466496163676,0.0010655959048861605,0.000445461536053896,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2010-11-04,0.016292325196203272,0.00026543986029884,0.00013018156189454008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2010-11-05,0.013620357297168262,0.00018551413290252472,7.53391656341875e-05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2010-11-08,0.03197842326389644,0.001022619554444913,0.00016512022503116985,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
2010-11-09,0.007726645927145448,5.970105728347334e-05,0.00010900272766996211,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2010-11-10,0.02297961769225143,0.000528062829282035,0.00014411381245540592,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2010-11-11,-0.007791434057669022,6.070644467500476e-05,0.00022685651757936283,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2010-11-12,-0.04559061836641298,0.0020785044830319128,0.0009328215029368491,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2010-11-15,0.05945773261811027,0.003535221968086694,0.0005201692601613804,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
2010-11-16,-0.019663764857919652,0.00038666364838755587,0.0009956760580037802,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2010-11-17,-0.03692534079077703,0.001363480792515022,0.0007953899049155005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2010-11-18,0.01599161030062568,0.00025573160000707737,0.00039157571550034036,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2010-11-19,0.04462233449195985,0.0019911527355123493,0.0005253084648057527,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2010-11-22,0.01869984119648116,0.0003496840607736139,0.000619578328608924,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
2010-11-23,0.007262459626800499,5.274331983090725e-05,0.0005354788826663792,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2010-11-24,0.020860706828544018,0.00043516908938646303,0.00020694440391808293,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
