,id,company_id,company_name,code,a_code,b_code,h_code,pub_date,start_date,end_date,report_date,report_type,source_id,source,total_operating_revenue,operating_revenue,total_operating_cost,operating_cost,operating_tax_surcharges,sale_expense,administration_expense,exploration_expense,financial_expense,asset_impairment_loss,fair_value_variable_income,investment_income,invest_income_associates,exchange_income,other_items_influenced_income,operating_profit,subsidy_income,non_operating_revenue,non_operating_expense,disposal_loss_non_current_liability,other_items_influenced_profit,total_profit,income_tax,other_items_influenced_net_profit,net_profit,np_parent_company_owners,minority_profit,eps,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners,interest_income,premiums_earned,commission_income,interest_expense,commission_expense,refunded_premiums,net_pay_insurance_claims,withdraw_insurance_contract_reserve,policy_dividend_payout,reinsurance_cost,non_current_asset_disposed,other_earnings
0,295264,300017607,青岛东方铁塔股份有限公司,002545.XSHE,002545,,,2018-04-25,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,2047200582.44,2047200582.44,1980611473.2,1364018427.59,51700765.78,145470928.3,134427402.73,,71396133.34,213597815.46,264872601.19,51482706.75,10394654.5,,,382983762.71,,1882341.2,864982.05,,,384001121.86,134013730.43,,249987391.43,251261519.2,-1274127.77,,0.1909,0.1909,-50490149.64,199497241.79,200771369.56,-1274127.77,,,,,,,,,,,,
0,296733,300017429,广州杰赛科技股份有限公司,002544.XSHE,002544,,,2018-04-26,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,5977970721.07,5977970721.07,5788200872.52,5006280429.57,27373033.33,207076498.19,418151071.05,,75264374.97,54055465.41,,47591.62,47591.62,,,236710358.86,,5340852.52,269625.17,,,241781586.21,29724832.5,,212056753.71,201727502.01,10329251.7,,0.35,0.35,-5782254.53,206274499.18,196627347.42,9647151.76,,,,,,,,,,,,47424250.55
0,290858,300017428,广东万和新电气股份有限公司,002543.XSHE,002543,,,2018-04-18,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,6531948411.85,6531948411.85,6121818101.17,4717957210.32,47868322.75,918988934.05,392130446.52,,38268918.47,6604269.06,27.41,30045199.64,217659.0,,,493138656.94,,10102431.89,3990013.29,,,499251075.54,78936902.31,,420314173.23,413400528.25,6913644.98,,0.9395,0.9395,88303.84,420402477.07,413488832.09,6913644.98,,,,,,,,,,,,52963119.21
0,296729,300017427,中化岩土集团股份有限公司,002542.XSHE,002542,,,2018-04-26,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,2792637115.92,2792637115.92,2523774693.59,2135602395.07,12212486.96,22549928.96,243107675.51,,46193628.28,64108578.81,,12306959.58,-1089530.12,,,285736195.21,,5782.98,975589.24,,,284766388.95,46066121.97,,238700266.98,236558035.1,2142231.88,,0.13,0.13,-213159.54,238487107.44,236344875.56,2142231.88,,,,,,,,,,,,4045546.58
0,57795,300017118,安徽鸿路钢结构(集团)股份有限公司,002541.XSHE,002541,,,2018-03-31,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,5032855202.52,5032855202.52,4878488686.39,4234866930.58,47650746.19,133795601.86,243307728.6,,97291118.67,121576560.49,-90900.34,-9696444.05,-9840410.29,,,156105232.93,,141559076.21,15270563.44,,,282393745.7,72880468.75,,209513276.95,209513276.95,,,0.6,0.6,,209513276.95,209513276.95,,,,,,,,,,,,,11362184.59
0,294237,300017117,江苏亚太轻合金科技股份有限公司,002540.XSHE,002540,,,2018-04-24,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,3407489577.27,3407489577.27,3088061446.09,2707808474.83,21509771.88,59089599.25,281925662.87,,5710710.72,12017226.54,-5934703.09,7435579.38,,,,359413843.83,,1688602.7,2799845.61,,,358302600.92,54667920.48,,303634680.44,303634680.44,,,0.2867,0.2867,-5092.37,303629588.07,303629588.07,,,,,,,,,,,,,38181817.44
0,290415,300017116,成都云图控股股份有限公司,002539.XSHE,002539,,,2018-04-16,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,7741552001.8,7741552001.8,7626339417.5,6545493524.69,64180341.13,296859055.39,494024373.31,,180874154.3,44907968.68,,-1146934.6,-1974254.99,,,167960981.95,,4782314.15,32726152.83,,,140017143.27,37444564.18,,102572579.09,104391659.2,-1819080.11,,0.1,0.1,5539028.6,108111607.69,109930687.8,-1819080.11,,,,,,,,,,,,64319814.24
0,295253,300017115,安徽省司尔特肥业股份有限公司,002538.XSHE,002538,,,2018-04-25,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,2602721177.88,2602721177.88,2418787037.62,2065891139.77,29286718.93,132321882.28,154142952.32,,26987036.56,10157307.76,,17686904.38,-6057335.18,,,250953121.49,,522263.55,4355458.67,,,247119926.37,32175436.29,,214944490.08,212961885.96,1982604.12,,0.3,0.3,,214944490.08,212961885.96,1982604.12,,,,,,,,,,,,27304499.05
0,56953,300016929,海联金汇科技股份有限公司,002537.XSHE,002537,,,2018-04-04,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,3996047149.8,3996047149.8,3501876424.81,2845541953.97,22456607.88,140856037.71,504538477.42,,-44270285.62,32753633.45,,-837744.27,,,,494806764.67,,42029824.31,3637974.89,,,533198614.09,88677063.45,,444521550.64,413945815.86,30575734.78,,0.33,0.33,-2393424.99,442128125.65,411552390.87,30575734.78,,,,,,,,,,,,815945.73
0,57081,300016931,河南省西峡汽车水泵股份有限公司,002536.XSHE,002536,,,2018-03-28,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,2665999706.54,2665999706.54,2400391659.1,1904543454.08,23046193.1,87487711.65,356357760.04,,17766585.25,11189954.98,,-19071.62,,,,280678058.23,,56252.42,10229024.49,,,270505286.16,27439375.52,,243065910.64,241552073.66,1513836.98,,0.72,0.72,,243065910.64,241552073.66,1513836.98,,,,,,,,,,,,14814247.0
