,open,close,high,low,volume,money
2008-09-02,7640.56,7578.36,7662.69,7542.46,259246800.0,3325587192.0
2008-09-03,7540.31,7413.55,7580.65,7338.38,363237100.0,4299002285.0
2008-09-04,7385.84,7473.6,7543.95,7354.89,246048200.0,2841301322.0
2008-09-05,7299.37,7264.2,7384.47,7237.07,289047400.0,3161356056.0
2008-09-08,7278.67,7004.0,7302.8,6980.92,301124300.0,2959122500.0
2008-09-09,7027.27,7022.18,7076.2,6944.48,257007500.0,2559417816.0
2008-09-10,6982.12,7065.47,7178.4,6907.03,305269400.0,3134643529.0
2008-09-11,7046.47,6876.25,7072.19,6852.82,298090100.0,2939608545.0
2008-09-12,6859.65,6935.07,7020.74,6859.65,281695300.0,2731565477.0
2008-09-16,6908.55,6873.61,6946.03,6767.16,487188800.0,4570074657.0
2008-09-17,6843.82,6680.06,6909.54,6668.65,425389600.0,4072050693.0
2008-09-18,6528.41,6563.07,6686.19,6290.01,613738300.0,5738547512.0
2008-09-19,7110.77,7154.0,7154.0,7049.38,667252500.0,6691318667.0
2008-09-22,7654.08,7469.07,7752.84,7228.69,1481238500.0,16150304495.0
2008-09-23,7199.83,7062.08,7270.97,7057.14,846604200.0,9294815386.0
2008-09-24,6879.49,7083.45,7083.45,6830.54,526057200.0,5793186192.0
2008-09-25,7103.71,7376.84,7463.57,7089.59,1033156800.0,11046948606.0
2008-09-26,7404.02,7559.27,7598.69,7348.63,909068300.0,9429519620.0
2008-10-06,7406.02,7217.32,7406.02,7214.56,751225400.0,7833527933.0
2008-10-07,6939.68,7181.28,7251.74,6863.27,624557600.0,6201754603.0
2008-10-08,6974.84,6924.48,7092.97,6867.31,511737600.0,5050869104.0
2008-10-09,7043.55,6758.22,7058.98,6754.0,566171800.0,5499080333.0
2008-10-10,6482.19,6385.35,6500.74,6345.8,509214000.0,4906151619.0
2008-10-13,6330.19,6571.59,6571.59,6109.15,592971000.0,5667614796.0
2008-10-14,6772.38,6473.11,6807.14,6473.11,854134600.0,8049587374.0
2008-10-15,6403.27,6406.35,6453.03,6340.25,515472100.0,4399246722.0
2008-10-16,6141.73,6166.56,6312.18,6117.13,692757300.0,5864140021.0
2008-10-17,6213.52,6209.51,6247.35,6081.14,471633700.0,3974054873.0
2008-10-20,6220.43,6426.29,6452.34,6101.42,565035400.0,4949723286.0
2008-10-21,6435.91,6389.19,6527.49,6379.16,614398900.0,5601672715.0
2008-10-22,6293.04,6278.04,6457.05,6265.39,486259900.0,4329313093.0
2008-10-23,6213.92,6325.31,6340.51,6153.16,565389300.0,5014530498.0
2008-10-24,6317.51,6158.95,6370.54,6093.75,468761300.0,4280722173.0
2008-10-27,6037.55,5734.81,6039.09,5721.69,634813800.0,5281108828.0
2008-10-28,5589.31,5891.12,5923.44,5577.23,831254200.0,6627888692.0
2008-10-29,5973.5,5798.67,5987.61,5792.77,613180300.0,4954527806.0
2008-10-30,5835.72,5909.66,6017.0,5772.92,613254100.0,5118620331.0
2008-10-31,5887.9,5839.33,5930.78,5810.61,360570900.0,2964422808.0
2008-11-03,5794.17,5825.0,5913.39,5775.27,329752800.0,2712781018.0
2008-11-04,5807.12,5668.81,5807.18,5633.31,424905400.0,3268694856.0
2008-11-05,5721.52,5865.78,5941.8,5721.17,541610400.0,4303696027.0
2008-11-06,5734.93,5720.55,5767.13,5678.34,392787200.0,2935776798.0
2008-11-07,5626.92,5753.1,5787.79,5598.21,436965000.0,3597073872.0
2008-11-10,5855.08,6127.12,6128.72,5855.08,854670600.0,6893874074.0
2008-11-11,6113.85,6099.77,6254.49,6046.97,1032202600.0,8363017221.0
2008-11-12,6017.19,6116.67,6157.76,5998.8,680517300.0,5919688805.0
2008-11-13,6030.79,6364.03,6420.73,5986.11,1208690900.0,10609604640.0
2008-11-14,6421.94,6660.41,6660.43,6378.06,1285032400.0,11730760229.0
2008-11-17,6634.63,6783.03,6783.03,6576.84,1357968700.0,12251915558.0
2008-11-18,6727.51,6293.3,6790.52,6264.84,1280146600.0,11432083221.0
2008-11-19,6273.28,6679.94,6698.2,6260.46,1065741900.0,9347590984.0
2008-11-20,6564.44,6696.83,6850.7,6534.85,1250803800.0,11454912585.0
2008-11-21,6508.93,6711.35,6854.63,6389.61,1267819300.0,11076837300.0
2008-11-24,6694.53,6466.19,6745.41,6466.19,735296100.0,6724431773.0
2008-11-25,6568.15,6489.0,6609.08,6390.34,585403400.0,5456810923.0
2008-11-26,6509.31,6533.87,6610.53,6433.68,666195400.0,5572349895.0
2008-11-27,6923.37,6683.24,6947.12,6683.24,1418621300.0,12614931187.0
2008-11-28,6606.1,6658.51,6727.81,6575.24,717896500.0,6784415524.0
2008-12-01,6634.6,6763.97,6768.05,6604.39,705447400.0,6809374493.0
2008-12-02,6619.35,6795.81,6887.49,6596.64,829354300.0,7906718267.0
2008-12-03,6833.86,7041.07,7041.07,6833.86,1085520800.0,10120970465.0
2008-12-04,7123.0,7130.93,7389.35,7122.47,1555852700.0,15165124824.0
2008-12-05,7101.77,7279.15,7299.15,7094.72,1043971700.0,9801421941.0
